TimePeriod,Volume
2024-01-01 00:00:00+00:00,81013
2024-01-02 00:00:00+00:00,75519
2024-01-03 00:00:00+00:00,82427
2024-01-04 00:00:00+00:00,102901
2024-01-05 00:00:00+00:00,103178
2024-01-06 00:00:00+00:00,97117
2024-01-07 00:00:00+00:00,67543
2024-01-08 00:00:00+00:00,80034
2024-01-09 00:00:00+00:00,93962
2024-01-10 00:00:00+00:00,95000
2024-01-11 00:00:00+00:00,105010
2024-01-12 00:00:00+00:00,103655
2024-01-13 00:00:00+00:00,104758
2024-01-14 00:00:00+00:00,94420
2024-01-15 00:00:00+00:00,77033
2024-01-16 00:00:00+00:00,93057
2024-01-17 00:00:00+00:00,110365
2024-01-18 00:00:00+00:00,110358
2024-01-19 00:00:00+00:00,95951
2024-01-20 00:00:00+00:00,108768
2024-01-21 00:00:00+00:00,84502
2024-01-22 00:00:00+00:00,85650
2024-01-23 00:00:00+00:00,99891
2024-01-24 00:00:00+00:00,105120
2024-01-25 00:00:00+00:00,110318
2024-01-26 00:00:00+00:00,105804
2024-01-27 00:00:00+00:00,110515
2024-01-28 00:00:00+00:00,92837
2024-01-29 00:00:00+00:00,84547
2024-01-30 00:00:00+00:00,101233
2024-01-31 00:00:00+00:00,102120
2024-02-01 00:00:00+00:00,109994
2024-02-02 00:00:00+00:00,105470
2024-02-03 00:00:00+00:00,110603
2024-02-04 00:00:00+00:00,88091
2024-02-05 00:00:00+00:00,88421
2024-02-06 00:00:00+00:00,102152
2024-02-07 00:00:00+00:00,102971
2024-02-08 00:00:00+00:00,114063
2024-02-09 00:00:00+00:00,110502
2024-02-10 00:00:00+00:00,111655
2024-02-11 00:00:00+00:00,96566
2024-02-12 00:00:00+00:00,92090
2024-02-13 00:00:00+00:00,69067
2024-02-14 00:00:00+00:00,121771
2024-02-15 00:00:00+00:00,122956
2024-02-16 00:00:00+00:00,105841
2024-02-17 00:00:00+00:00,105811
2024-02-18 00:00:00+00:00,93788
2024-02-19 00:00:00+00:00,76073
2024-02-20 00:00:00+00:00,97086
2024-02-21 00:00:00+00:00,103545
2024-02-22 00:00:00+00:00,115608
2024-02-23 00:00:00+00:00,102442
2024-02-24 00:00:00+00:00,117831
2024-02-25 00:00:00+00:00,95826
2024-02-26 00:00:00+00:00,86321
2024-02-27 00:00:00+00:00,118614
2024-02-28 00:00:00+00:00,112463
2024-02-29 00:00:00+00:00,129890
2024-03-01 00:00:00+00:00,117638
2024-03-02 00:00:00+00:00,122463
2024-03-03 00:00:00+00:00,97000
2024-03-04 00:00:00+00:00,94198
2024-03-05 00:00:00+00:00,112562
2024-03-06 00:00:00+00:00,132881
2024-03-07 00:00:00+00:00,122119
2024-03-08 00:00:00+00:00,119534
2024-03-09 00:00:00+00:00,140493
2024-03-10 00:00:00+00:00,104486
2024-03-11 00:00:00+00:00,98319
2024-03-12 00:00:00+00:00,112219
2024-03-13 00:00:00+00:00,119723
2024-03-14 00:00:00+00:00,137060
2024-03-15 00:00:00+00:00,128813
2024-03-16 00:00:00+00:00,131432
2024-03-17 00:00:00+00:00,103415
2024-03-18 00:00:00+00:00,94988
2024-03-19 00:00:00+00:00,111714
2024-03-20 00:00:00+00:00,118999
2024-03-21 00:00:00+00:00,130803
2024-03-22 00:00:00+00:00,116847
2024-03-23 00:00:00+00:00,121966
2024-03-24 00:00:00+00:00,101913
2024-03-25 00:00:00+00:00,93442
2024-03-26 00:00:00+00:00,112693
2024-03-27 00:00:00+00:00,121188
2024-03-28 00:00:00+00:00,132715
2024-03-29 00:00:00+00:00,119850
2024-03-30 00:00:00+00:00,112652
2024-03-31 00:00:00+00:00,98480
2024-04-01 00:00:00+00:00,93868
2024-04-02 00:00:00+00:00,131634
2024-04-03 00:00:00+00:00,139775
2024-04-04 00:00:00+00:00,137504
2024-04-05 00:00:00+00:00,134463
2024-04-06 00:00:00+00:00,131609
2024-04-07 00:00:00+00:00,105570
2024-04-08 00:00:00+00:00,97245
2024-04-09 00:00:00+00:00,120618
2024-04-10 00:00:00+00:00,121815
2024-04-11 00:00:00+00:00,142640
2024-04-12 00:00:00+00:00,123884
2024-04-13 00:00:00+00:00,129801
2024-04-14 00:00:00+00:00,111479
2024-04-15 00:00:00+00:00,101058
2024-04-16 00:00:00+00:00,111018
2024-04-17 00:00:00+00:00,126607
2024-04-18 00:00:00+00:00,134386
2024-04-19 00:00:00+00:00,119285
2024-04-20 00:00:00+00:00,132925
2024-04-21 00:00:00+00:00,105839
2024-04-22 00:00:00+00:00,90393
2024-04-23 00:00:00+00:00,100084
2024-04-24 00:00:00+00:00,108657
2024-04-25 00:00:00+00:00,122980
2024-04-26 00:00:00+00:00,113011
2024-04-27 00:00:00+00:00,117875
2024-04-28 00:00:00+00:00,99321
2024-04-29 00:00:00+00:00,97090
2024-04-30 00:00:00+00:00,111846
